Date,Close,year,month,day,Year
2021-10-13,57401.097656,2021,10,13,2021
2021-10-14,57321.523438,2021,10,14,2021
2021-10-15,61593.949219,2021,10,15,2021
2021-10-16,60892.179688,2021,10,16,2021
2021-10-17,61553.617188,2021,10,17,2021
2021-10-18,62026.078125,2021,10,18,2021
2021-10-19,64261.992188,2021,10,19,2021
2021-10-20,65992.835938,2021,10,20,2021
2021-10-21,62210.171875,2021,10,21,2021
2021-10-22,60692.265625,2021,10,22,2021
2021-10-23,61393.617188,2021,10,23,2021
2021-10-24,60930.835938,2021,10,24,2021
2021-10-25,63039.824219,2021,10,25,2021
2021-10-26,60363.792969,2021,10,26,2021
2021-10-27,58482.386719,2021,10,27,2021
2021-10-28,60622.136719,2021,10,28,2021
2021-10-29,62227.964844,2021,10,29,2021
2021-10-30,61888.832031,2021,10,30,2021
2021-10-31,61318.957031,2021,10,31,2021
2021-11-01,61004.40625,2021,11,1,2021
2021-11-02,63226.402344,2021,11,2,2021
2021-11-03,62970.046875,2021,11,3,2021
2021-11-04,61452.230469,2021,11,4,2021
2021-11-05,61125.675781,2021,11,5,2021
2021-11-06,61527.480469,2021,11,6,2021
2021-11-07,63326.988281,2021,11,7,2021
2021-11-08,67566.828125,2021,11,8,2021
2021-11-09,66971.828125,2021,11,9,2021
2021-11-10,64995.230469,2021,11,10,2021
2021-11-11,64949.960938,2021,11,11,2021
2021-11-12,64155.941406,2021,11,12,2021
2021-11-13,64469.527344,2021,11,13,2021
2021-11-14,65466.839844,2021,11,14,2021
2021-11-15,63557.871094,2021,11,15,2021
2021-11-16,60161.246094,2021,11,16,2021
2021-11-17,60368.011719,2021,11,17,2021
2021-11-18,56942.136719,2021,11,18,2021
2021-11-19,58119.578125,2021,11,19,2021
2021-11-20,59697.195313,2021,11,20,2021
2021-11-21,58730.476563,2021,11,21,2021
2021-11-22,56289.289063,2021,11,22,2021
2021-11-23,57569.074219,2021,11,23,2021
2021-11-24,56280.425781,2021,11,24,2021
2021-11-25,57274.679688,2021,11,25,2021
2021-11-26,53569.765625,2021,11,26,2021
2021-11-27,54815.078125,2021,11,27,2021
2021-11-28,57248.457031,2021,11,28,2021
2021-11-29,57806.566406,2021,11,29,2021
2021-11-30,57005.425781,2021,11,30,2021
2021-12-01,57229.828125,2021,12,1,2021
2021-12-02,56477.816406,2021,12,2,2021
2021-12-03,53598.246094,2021,12,3,2021
2021-12-04,49200.703125,2021,12,4,2021
2021-12-05,49368.847656,2021,12,5,2021
2021-12-06,50582.625,2021,12,6,2021
2021-12-07,50700.085938,2021,12,7,2021
2021-12-08,50504.796875,2021,12,8,2021
2021-12-09,47672.121094,2021,12,9,2021
2021-12-10,47243.304688,2021,12,10,2021
2021-12-11,49362.507813,2021,12,11,2021
2021-12-12,50098.335938,2021,12,12,2021
2021-12-13,46737.480469,2021,12,13,2021
2021-12-14,46612.632813,2021,12,14,2021
2021-12-15,48896.722656,2021,12,15,2021
2021-12-16,47665.425781,2021,12,16,2021
2021-12-17,46202.144531,2021,12,17,2021
2021-12-18,46848.777344,2021,12,18,2021
2021-12-19,46707.015625,2021,12,19,2021
2021-12-20,46880.277344,2021,12,20,2021
2021-12-21,48936.613281,2021,12,21,2021
2021-12-22,48628.511719,2021,12,22,2021
2021-12-23,50784.539063,2021,12,23,2021
2021-12-24,50822.195313,2021,12,24,2021
2021-12-25,50429.859375,2021,12,25,2021
2021-12-26,50809.515625,2021,12,26,2021
2021-12-27,50640.417969,2021,12,27,2021
2021-12-28,47588.855469,2021,12,28,2021
2021-12-29,46444.710938,2021,12,29,2021
2021-12-30,47178.125,2021,12,30,2021
2021-12-31,46306.445313,2021,12,31,2021
2022-01-01,47686.8125,2022,1,1,2022
2022-01-02,47345.21875,2022,1,2,2022
2022-01-03,46458.117188,2022,1,3,2022
2022-01-04,45897.574219,2022,1,4,2022
2022-01-05,43569.003906,2022,1,5,2022
2022-01-06,43160.929688,2022,1,6,2022
2022-01-07,41557.902344,2022,1,7,2022
2022-01-08,41733.941406,2022,1,8,2022
2022-01-09,41911.601563,2022,1,9,2022
2022-01-10,41821.261719,2022,1,10,2022
2022-01-11,42735.855469,2022,1,11,2022
2022-01-12,43949.101563,2022,1,12,2022
2022-01-13,42591.570313,2022,1,13,2022
2022-01-14,43099.699219,2022,1,14,2022
2022-01-15,43177.398438,2022,1,15,2022
2022-01-16,43113.878906,2022,1,16,2022
2022-01-17,42250.550781,2022,1,17,2022
2022-01-18,42375.632813,2022,1,18,2022
2022-01-19,41744.328125,2022,1,19,2022
2022-01-20,40680.417969,2022,1,20,2022
2022-01-21,36457.316406,2022,1,21,2022
2022-01-22,35030.25,2022,1,22,2022
2022-01-23,36276.804688,2022,1,23,2022
2022-01-24,36654.328125,2022,1,24,2022
2022-01-25,36954.003906,2022,1,25,2022
2022-01-26,36852.121094,2022,1,26,2022
2022-01-27,37138.234375,2022,1,27,2022
2022-01-28,37784.332031,2022,1,28,2022
2022-01-29,38138.179688,2022,1,29,2022
2022-01-30,37917.601563,2022,1,30,2022
2022-01-31,38483.125,2022,1,31,2022
2022-02-01,38743.273438,2022,2,1,2022
2022-02-02,36952.984375,2022,2,2,2022
2022-02-03,37154.601563,2022,2,3,2022
2022-02-04,41500.875,2022,2,4,2022
2022-02-05,41441.164063,2022,2,5,2022
2022-02-06,42412.433594,2022,2,6,2022
2022-02-07,43840.285156,2022,2,7,2022
2022-02-08,44118.445313,2022,2,8,2022
2022-02-09,44338.796875,2022,2,9,2022
2022-02-10,43565.113281,2022,2,10,2022
